Datum;Morgen Kommen;Morgen Gehen;Mittag Kommen;Abend Gehen;Arbeitszeit;Sollzeit;Differenz;Feiertag
Di 11.02.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 12.02.2025;;;;;00:00;08:24;08:24 Fehl;
Do 13.02.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 14.02.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 15.02.2025;;;;;00:00;00:00;00:00 ;
So 16.02.2025;;;;;00:00;00:00;00:00 ;
Mo 17.02.2025;;;;;00:00;08:24;08:24 Fehl;
Di 18.02.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 19.02.2025;;;;;00:00;08:24;08:24 Fehl;
Do 20.02.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 21.02.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 22.02.2025;;;;;00:00;00:00;00:00 ;
So 23.02.2025;;;;;00:00;00:00;00:00 ;
Mo 24.02.2025;;;;;00:00;08:24;08:24 Fehl;
Di 25.02.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 26.02.2025;;;;;00:00;08:24;08:24 Fehl;
Do 27.02.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 28.02.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 01.03.2025;;;;;00:00;00:00;00:00 ;
So 02.03.2025;;;;;00:00;00:00;00:00 ;
Mo 03.03.2025;;;;;00:00;08:24;08:24 Fehl;
Di 04.03.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 05.03.2025;;;;;00:00;08:24;08:24 Fehl;
Do 06.03.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 07.03.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 08.03.2025;;;;;00:00;00:00;00:00 ;
So 09.03.2025;;;;;00:00;00:00;00:00 ;
Mo 10.03.2025;;;;;00:00;08:24;08:24 Fehl;
Di 11.03.2025;;;;;00:00;08:24;08:24 Fehl;
Mi 12.03.2025;;;;;00:00;08:24;08:24 Fehl;
Do 13.03.2025;;;;;00:00;08:24;08:24 Fehl;
Fr 14.03.2025;;;;;00:00;08:24;08:24 Fehl;
Sa 15.03.2025;;;;;00:00;00:00;00:00 ;
